Player,Position,mean,count
Trey Lance,QB,6975.0,1
New Orleans Saints,Team,1974.75,4
Nick Bolton,LB,1430.0,5
Pressley Harvin III,P,1424.8,5
Travis Homer,RB,1299.0,1
Breshad Perriman,WR,1116.6666666666667,3
Jordan Willis,DL,930.0,4
Aidan Hutchinson,DL,858.2,5
Zach Allen,DL,831.0,3
New York Jets,Team,826.0,3
Trevon Diggs,DB,431.75,80
Tom Brady,QB,402.9348739495798,476
Jaelan Phillips,LB,377.70588235294116,17
Rashod Bateman,WR,328.4901960784314,51
Sam Mills,LB,297.4246575342466,73
Dalvin Cook,RB,294.8078431372549,255
Dallas Goedert,TE,276.61708860759495,316
Green Bay Packers,Team,253.57407407407408,54
Leonard Fournette,RB,251.09722222222223,144
Ezekiel Elliott,RB,226.1711229946524,187
Matt Ryan,QB,215.53658536585365,82
Seattle Seahawks,Team,214.1551724137931,58
Mike Williams,WR,204.7378151260504,595
Justin Tucker,K,196.75438596491227,171
Cameron Heyward,DL,194.84464285714284,560
Jacksonville Jaguars,Team,192.94897959183675,98
Micah Hyde,DB,181.9322033898305,59
Baltimore Ravens,Team,166.36363636363637,33
Minkah Fitzpatrick,DB,165.816091954023,87
Cliff Branch,WR,165.5,40
Khalil Mack,LB,165.48837209302326,129
Richard Seymour,DL,164.8910891089109,101
Kirk Cousins,QB,155.31560283687944,282
Rashaad Penny,RB,151.0150289017341,865
Chris Godwin,WR,139.52620967741936,496
New England Patriots,Team,138.04358974358973,390
Jared Goff,QB,134.38718662952647,359
Patrick Mahomes II,QB,129.7013630731103,1614
Bryant Young,DL,128.30645161290323,186
Tennessee Titans,Team,128.24503311258277,302
